kernel starting...
GDT installed!
IDT installed!
keyboard initlazed!
Interrupts Enabled!
INT NUM: 46 | ERR CODE: 00
ATA installed!
Jumping to module...
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 33 | ERR CODE: 00
KBD!
SCAN: 8	
ASCII: 
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 32 | ERR CODE: 00
INT NUM: 33 | ERR CODE: 00
KBD!
SCAN: ¸	
